name,price,url,image_url,type,size,vivino_score,store
Mesta Verdejo organic wine,5.99,https://www.ah.be/producten/product/wi225279/mesta-verdejo-organic-wine,https://static.ah.nl/dam/product/AHI_4b30306736425851524a655756414b334d34566f4f77?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.4,Albert Heijn
Origin Chardonnay,9.99,https://www.ah.be/producten/product/wi492373/origin-chardonnay,https://static.ah.nl/dam/product/AHI_4c7a305a333533485239574f72506d3259734d645f41?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.7,Albert Heijn
Wild Pig Sauvignon blanc,5.99,https://www.ah.be/producten/product/wi167842,https://static.ah.nl/dam/product/AHI_4354523130313835303234?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.2,Albert Heijn
J.M. da Fonseca Vinho verde,4.59,https://www.ah.be/producten/product/wi236674,https://static.ah.nl/dam/product/AHI_4354523130323034383932?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.5,Albert Heijn
AH Excellent Selectie touraine sauvignon blanc,7.99,https://www.ah.be/producten/product/wi387103,https://static.ah.nl/dam/product/AHI_4354523130313932353832?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.8,Albert Heijn
AH Vol & droge Zuid-Afrikaanse huiswijn wit,4.99,https://www.ah.be/producten/product/wi222360/ah-vol-en-droge-zuid-afrikaanse-huiswijn-wit,https://static.ah.nl/dam/product/AHI_4e7a6a356265626a54536570476f336f654a68386467?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,,Albert Heijn
Settesoli Fiano,5.99,https://www.ah.be/producten/product/wi211340,https://static.ah.nl/dam/product/AHI_6765494d67677065524e533836653278475838773451?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.3,Albert Heijn
Chiarli 1860 Lambrusco bianco,3.49,https://www.ah.be/producten/product/wi284,https://static.ah.nl/dam/product/AHI_4354523130303938333234?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,Sparkling,Other,3.8,Albert Heijn
Sarmentino Sauvignon blanc,3.49,https://www.ah.be/producten/product/wi365924/sarmentino-sauvignon-blanc,https://static.ah.nl/dam/product/AHI_4354523130313930323139?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.0,Albert Heijn
AH Excellent Selectie sauvignon blanc falcon,8.99,https://www.ah.be/producten/product/wi419766,https://static.ah.nl/dam/product/AHI_496a2d2d4c46776b53776939656f64706c7649753451?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.9,Albert Heijn
Jacob's Creek Classic chardonnay,8.49,https://www.ah.be/producten/product/wi139909,https://static.ah.nl/dam/product/AHI_434d50303233333330?revLabel=6&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.4,Albert Heijn
Stellenb Vineyards Sauvignon blanc bel,8.99,https://www.ah.be/producten/product/wi508017/stellenb-vineyards-sauvignon-blanc-bel,https://static.ah.nl/dam/product/AHI_43545239373132393839?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.8,Albert Heijn
AH Vol & halfzoete Zuid-Afrikaanse wit,2.69,https://www.ah.be/producten/product/wi222371,https://static.ah.nl/dam/product/AHI_43545239383431343036?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,,Albert Heijn
Mooi Kaap Droë steen,4.29,https://www.ah.be/producten/product/wi365931/mooi-kaap-droe-steen,https://static.ah.nl/dam/product/AHI_43545239363034393331?revLabel=3&rendition=200x200_JPG_Q85&fileType=binary,White,Other,2.8,Albert Heijn
Vermeersch Chardonnay bel,7.49,https://www.ah.be/producten/product/wi496455/vermeersch-chardonnay-bel,https://static.ah.nl/dam/product/AHI_5142485537617636522d4f7545353337757032687167?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.8,Albert Heijn
Catena Appellation Chardonnay bel,15.98,https://www.ah.be/producten/product/wi225611/catena-appellation-chardonnay-bel,https://static.ah.nl/dam/product/AHI_43545239383530383531?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,4.0,Albert Heijn
Faber Sparkling White alcoholvrij,4.99,https://www.ah.be/producten/product/wi221927/faber-sparkling-white-alcoholvrij,https://static.ah.nl/dam/product/AHI_6438674e3852517854555768307934486f6e49385751?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.2,Albert Heijn
Free Feather Chardonnay Alcoholvrij,1.99,https://www.ah.be/producten/product/wi481746/free-feather-chardonnay-alcoholvrij,https://static.ah.nl/dam/product/AHI_4354523130313839303432?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,2.6,Albert Heijn
Viverty Sparkling wit alcoholvrij,3.79,https://www.ah.be/producten/product/wi560570/viverty-sparkling-wit-alcoholvrij,https://static.ah.nl/dam/product/AHI_4354523130313736343235?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,Sparkling,Other,3.6,Albert Heijn
Welmoed Sauvignon blanc,6.79,https://www.ah.be/producten/product/wi49838,https://static.ah.nl/dam/product/AHI_4768364b713852365166796277674d71575444334c67?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.4,Albert Heijn
