name,price,url,image_url,type,size,vivino_score
La Villageoise Vin blanc sec 25 cl,1.79,https://www.carrefour.be/fr/la-villageoise-vin-blanc-sec-25-cl/04941497.html,https://cdn.carrefour.eu/420_04941497_T1.webp,White,25cl,
Galatheo Rosso Italia 3 L,9.99,https://www.carrefour.be/fr/galatheo-rosso-italia-3-l/06216744.html,https://cdn.carrefour.eu/420_06216744_T1.webp,Red,Box,4.1
Frankrijk Bordeaux Les Cinq Pattes vin Blanc,6.99,https://www.carrefour.be/fr/frankrijk-bordeaux-les-cinq-pattes-vin-blanc/06965287.html,https://cdn.carrefour.eu/420_06965287_main_20230322_01_PM.webp,White,Other,3.5
Bordeaux Les Cinq Pattes Rouge 75cl,6.99,https://www.carrefour.be/fr/bordeaux-les-cinq-pattes-rouge-75cl/06965299.html,https://cdn.carrefour.eu/420_06965299_main_20230322_01_PM.webp,Red,75cl,3.3
Piccini Toscana Collezione Privata Rouge 75cl,8.99,https://www.carrefour.be/fr/piccini-toscana-collezione-privata-rouge-75cl/07109180.html,https://cdn.carrefour.eu/420_07109180_20240704_01_PM.webp,Red,75cl,4.0
Ecaillemer vin blanc sec de la communaute europeenne Wit 75 cl,3.29,https://www.carrefour.be/fr/ecaillemer-vin-blanc-sec-de-la-communaute-europeenne-wit-75-cl/04789444.html,https://cdn.carrefour.eu/420_04789444_T1.webp,White,75cl,
Toscane Chianti Piccini Rouge 75cl,5.99,https://www.carrefour.be/fr/toscane-chianti-piccini-rouge-75cl/00163738.html,https://cdn.carrefour.eu/420_00163738_T1.webp,Red,75cl,3.7
Bordeaux Caves D'augustin Florent Rouge Bag in Box 3L,14.99,https://www.carrefour.be/fr/bordeaux-caves-daugustin-florent-rouge-bag-in-box-3l/04827942.html,https://cdn.carrefour.eu/420_04827942_T1.webp,Red,Box,3.6
Vins de France Bag in Box Délices du Terroir rosé 3L,9.99,https://www.carrefour.be/fr/vins-de-france-bag-in-box-delices-du-terroir-rose-3l/07032646.html,https://cdn.carrefour.eu/420_07032646_main_20231114_01_PM.webp,Rosé,Box,2.8
Sicile Le Morre Nero D'avola Rouge 75cl,3.99,https://www.carrefour.be/fr/sicile-le-morre-nero-davola-rouge-75cl/06961235.html,https://cdn.carrefour.eu/420_06961235_M1_20230403.webp,Red,75cl,3.0
